employeeid,year,state,sales,wisconsin
1,2016,"Wisconsin",2825,1
2,2016,"Michigan",4452,0
3,2016,"Michigan",4617,0
4,2016,"Wisconsin",3746,1
5,2017,"Michigan",4168,0
6,2016,"Michigan",2763,0
7,2016,"Michigan",4495,0
8,2016,"Michigan",2803,0
9,2017,"Wisconsin",4486,1
10,2017,"Wisconsin",2189,1
11,2016,"Wisconsin",3466,1
12,2017,"Michigan",2414,0
13,2017,"Wisconsin",4022,1
14,2016,"Michigan",4803,0
15,2017,"Michigan",4023,0
16,2016,"Wisconsin",2378,1
17,2016,"Wisconsin",1415,1
18,2017,"Wisconsin",4183,1
19,2017,"Michigan",2194,0
20,2017,"Michigan",1638,0
21,2017,"Wisconsin",1831,1
22,2016,"Michigan",4032,0
23,2016,"Michigan",4153,0
24,2016,"Michigan",3057,0
25,2017,"Michigan",4977,0
26,2017,"Wisconsin",1799,1
27,2016,"Michigan",5013,0
28,2017,"Wisconsin",2099,1
29,2016,"Michigan",2481,0
30,2017,"Wisconsin",1886,1
31,2017,"Michigan",2238,0
32,2016,"Wisconsin",4728,1
33,2016,"Michigan",5049,0
34,2017,"Michigan",2691,0
35,2017,"Wisconsin",4580,1
36,2016,"Michigan",4896,0
37,2016,"Wisconsin",3328,1
38,2017,"Michigan",3418,0
39,2017,"Wisconsin",1926,1
40,2017,"Michigan",2084,0
41,2017,"Wisconsin",4040,1
42,2016,"Michigan",3655,0
43,2017,"Wisconsin",3894,1
44,2017,"Michigan",3597,0
45,2017,"Wisconsin",1986,1
46,2017,"Michigan",1548,0
47,2017,"Michigan",1494,0
48,2016,"Wisconsin",1384,1
49,2017,"Michigan",5017,0
50,2016,"Michigan",1206,0
51,2017,"Wisconsin",2901,1
52,2016,"Michigan",1983,0
53,2017,"Michigan",3129,0
54,2017,"Michigan",4343,0
55,2016,"Michigan",3045,0
56,2016,"Michigan",1342,0
57,2017,"Michigan",3587,0
58,2016,"Michigan",4883,0
59,2016,"Wisconsin",2095,1
60,2017,"Wisconsin",4569,1
61,2017,"Michigan",2022,0
62,2017,"Wisconsin",2640,1
63,2017,"Wisconsin",4973,1
64,2016,"Wisconsin",4854,1
65,2017,"Michigan",2352,0
66,2016,"Michigan",4202,0
67,2016,"Michigan",1512,0
68,2016,"Michigan",5077,0
69,2017,"Wisconsin",4276,1
70,2016,"Michigan",3733,0
71,2017,"Wisconsin",4894,1
72,2017,"Michigan",1811,0
73,2016,"Michigan",3849,0
74,2016,"Michigan",4743,0
75,2016,"Michigan",2784,0
76,2017,"Michigan",2783,0
77,2016,"Wisconsin",2241,1
78,2016,"Michigan",4246,0
79,2016,"Michigan",1734,0
80,2016,"Wisconsin",4097,1
81,2016,"Wisconsin",4678,1
82,2016,"Michigan",3825,0
83,2016,"Michigan",2842,0
84,2016,"Wisconsin",4803,1
85,2016,"Michigan",1579,0
86,2016,"Michigan",2452,0
87,2016,"Wisconsin",2345,1
88,2016,"Wisconsin",1651,1
89,2017,"Michigan",4939,0
90,2017,"Wisconsin",2791,1
91,2016,"Michigan",2177,0
92,2017,"Wisconsin",3233,1
93,2017,"Michigan",3965,0
94,2017,"Michigan",1110,0
95,2016,"Michigan",4213,0
96,2017,"Michigan",1153,0
97,2016,"Wisconsin",3271,1
98,2016,"Wisconsin",3687,1
99,2017,"Michigan",3145,0
100,2016,"Wisconsin",3049,1
101,2017,"Wisconsin",2361,1
102,2017,"Wisconsin",4272,1
103,2017,"Michigan",3263,0
104,2017,"Wisconsin",2870,1
105,2017,"Michigan",1466,0
106,2017,"Michigan",2719,0
107,2017,"Michigan",1253,0
108,2016,"Wisconsin",3206,1
109,2017,"Wisconsin",4112,1
110,2017,"Michigan",3298,0
111,2017,"Wisconsin",4496,1
112,2017,"Michigan",3879,0
113,2017,"Michigan",3985,0
114,2016,"Michigan",4232,0
115,2017,"Michigan",3520,0
116,2017,"Michigan",3029,0
117,2017,"Michigan",1886,0
118,2016,"Wisconsin",2497,1
119,2016,"Wisconsin",3321,1
120,2016,"Michigan",1728,0
121,2016,"Wisconsin",4339,1
122,2016,"Michigan",4804,0
123,2016,"Michigan",4470,0
124,2017,"Wisconsin",4551,1
125,2016,"Wisconsin",1107,1
126,2016,"Michigan",1928,0
127,2017,"Wisconsin",2158,1
128,2016,"Wisconsin",1440,1
129,2016,"Michigan",1739,0
130,2017,"Michigan",4621,0
131,2016,"Wisconsin",4532,1
132,2016,"Michigan",4418,0
133,2016,"Michigan",3951,0
134,2017,"Wisconsin",5306,1
135,2017,"Michigan",3738,0
136,2016,"Michigan",2503,0
137,2016,"Michigan",1275,0
138,2016,"Michigan",4583,0
139,2017,"Wisconsin",4348,1
140,2017,"Michigan",3325,0
141,2017,"Michigan",4700,0
142,2016,"Wisconsin",1751,1
143,2016,"Michigan",2903,0
144,2017,"Michigan",4311,0
145,2017,"Michigan",2412,0
146,2017,"Wisconsin",5217,1
147,2017,"Wisconsin",3885,1
148,2017,"Wisconsin",3126,1
149,2016,"Michigan",1937,0
150,2017,"Wisconsin",2697,1
151,2017,"Wisconsin",2036,1
152,2016,"Wisconsin",1429,1
153,2016,"Michigan",2149,0
154,2016,"Wisconsin",2405,1
155,2017,"Michigan",2752,0
156,2016,"Wisconsin",2488,1
157,2017,"Wisconsin",4976,1
158,2016,"Michigan",3454,0
159,2017,"Michigan",2390,0
160,2017,"Michigan",1332,0
161,2016,"Wisconsin",4410,1
162,2017,"Wisconsin",3500,1
163,2016,"Michigan",3712,0
164,2017,"Michigan",4434,0
165,2017,"Wisconsin",5406,1
166,2017,"Michigan",2416,0
167,2017,"Wisconsin",4142,1
168,2016,"Michigan",2213,0
169,2016,"Michigan",2739,0
170,2016,"Wisconsin",2360,1
171,2016,"Michigan",3998,0
172,2017,"Wisconsin",2609,1
173,2017,"Wisconsin",4921,1
174,2016,"Wisconsin",3356,1
175,2016,"Michigan",2192,0
176,2017,"Wisconsin",2558,1
177,2016,"Michigan",2179,0
178,2017,"Wisconsin",2826,1
179,2016,"Wisconsin",3994,1
180,2017,"Wisconsin",1778,1
181,2017,"Michigan",2571,0
182,2017,"Wisconsin",3612,1
183,2016,"Wisconsin",3325,1
184,2016,"Michigan",4325,0
185,2017,"Wisconsin",1635,1
186,2016,"Wisconsin",3207,1
187,2017,"Wisconsin",3059,1
188,2016,"Michigan",4062,0
189,2016,"Michigan",3359,0
190,2016,"Michigan",2214,0
191,2016,"Michigan",3916,0
192,2016,"Wisconsin",1297,1
193,2017,"Wisconsin",1560,1
194,2017,"Wisconsin",3634,1
195,2017,"Wisconsin",2091,1
196,2017,"Wisconsin",2964,1
197,2017,"Michigan",1331,0
198,2017,"Michigan",1679,0
199,2016,"Wisconsin",2091,1
200,2017,"Wisconsin",2654,1
201,2016,"Michigan",3256,0
202,2017,"Wisconsin",4927,1
203,2017,"Wisconsin",4104,1
204,2017,"Michigan",1637,0
205,2017,"Michigan",4166,0
206,2016,"Wisconsin",4343,1
207,2017,"Wisconsin",3618,1
208,2017,"Michigan",2502,0
209,2017,"Wisconsin",2681,1
210,2016,"Wisconsin",1083,1
211,2016,"Wisconsin",4447,1
212,2017,"Wisconsin",2545,1
213,2016,"Michigan",4656,0
214,2017,"Michigan",3004,0
215,2016,"Michigan",2382,0
216,2017,"Wisconsin",2792,1
217,2017,"Michigan",4876,0
218,2016,"Wisconsin",4330,1
219,2016,"Michigan",4898,0
220,2017,"Michigan",5044,0
221,2016,"Wisconsin",4276,1
222,2017,"Michigan",4209,0
223,2016,"Michigan",2712,0
224,2017,"Michigan",3189,0
225,2017,"Michigan",3508,0
226,2016,"Michigan",2118,0
227,2016,"Michigan",2559,0
228,2016,"Wisconsin",2454,1
229,2017,"Wisconsin",3567,1
230,2016,"Wisconsin",2951,1
231,2017,"Wisconsin",1835,1
232,2016,"Michigan",2080,0
233,2016,"Michigan",1926,0
234,2017,"Michigan",2369,0
235,2017,"Michigan",2963,0
236,2017,"Michigan",3430,0
237,2017,"Wisconsin",3537,1
238,2017,"Michigan",3191,0
239,2016,"Michigan",3744,0
240,2016,"Michigan",3910,0
241,2016,"Wisconsin",2668,1
242,2017,"Michigan",3972,0
243,2017,"Wisconsin",1742,1
244,2017,"Wisconsin",5069,1
245,2017,"Wisconsin",5211,1
246,2016,"Michigan",3656,0
247,2017,"Michigan",2291,0
248,2017,"Michigan",3175,0
249,2016,"Michigan",4229,0
250,2017,"Michigan",1161,0
251,2016,"Michigan",3810,0
252,2016,"Michigan",2783,0
253,2017,"Michigan",3565,0
254,2016,"Michigan",3429,0
255,2017,"Wisconsin",4676,1
256,2017,"Wisconsin",2484,1
257,2017,"Wisconsin",3365,1
258,2016,"Wisconsin",1193,1
259,2016,"Michigan",2635,0
260,2017,"Wisconsin",5396,1
261,2016,"Michigan",2555,0
262,2017,"Michigan",1271,0
263,2016,"Michigan",2234,0
264,2017,"Michigan",2029,0
265,2017,"Wisconsin",3371,1
266,2017,"Michigan",4365,0
267,2016,"Michigan",1519,0
268,2016,"Michigan",2455,0
269,2017,"Wisconsin",3632,1
270,2016,"Wisconsin",1928,1
271,2016,"Wisconsin",4041,1
272,2017,"Michigan",1976,0
273,2017,"Michigan",3928,0
274,2017,"Michigan",4660,0
275,2017,"Wisconsin",4299,1
276,2016,"Wisconsin",2684,1
277,2016,"Michigan",1763,0
278,2017,"Wisconsin",1817,1
279,2017,"Wisconsin",4247,1
280,2017,"Michigan",3644,0
281,2016,"Michigan",3317,0
282,2017,"Michigan",1465,0
